time_slot,agent,p,pb_dn,pb_up,pr_dn,pr_up,s_dn,s_up,spot_price
104,84,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,85,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,89,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,90,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,91,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,94,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,95,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,96,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,98,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,101,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,102,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,103,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,104,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,105,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,109,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,113,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,114,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,119,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,120,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,122,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,124,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,125,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,126,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,127,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,128,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,129,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,130,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,134,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,135,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,136,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,140,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,142,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,143,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,145,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,146,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,147,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,150,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,156,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,161,0.0,11.0,11.0,11.0,11.0,0.0,0.0,702.200012
104,162,0.0,22.0,22.0,22.0,22.0,0.0,0.0,702.200012
104,163,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,164,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
104,167,0.0,7.2,7.2,7.2,7.2,0.0,0.0,702.200012
105,0,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,1,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,2,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,4,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,5,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,7,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,8,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,9,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,10,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,13,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,14,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,15,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,17,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,21,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,22,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,23,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,24,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,26,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,27,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,28,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,30,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,31,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,33,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,35,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,36,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,37,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,38,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,39,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,40,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,41,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,42,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,43,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,46,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,47,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,48,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,49,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,51,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,53,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,54,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,55,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,56,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,57,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,58,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,59,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,60,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,61,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,62,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,63,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
105,64,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,65,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,67,0.0,11.0,11.0,11.0,11.0,0.0,0.0,602.650024
105,69,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,72,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,75,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,77,0.0,22.0,22.0,22.0,22.0,0.0,0.0,602.650024
105,78,0.0,7.2,7.2,7.2,7.2,0.0,0.0,602.650024
