FlexOfferID,Timestamp,ScheduledPower_kW,ReserveUp_kW,ReserveDown_kW
8,2024-04-12 03:30:00,0.0,0.0,0.0
8,2024-04-12 03:45:00,0.0,0.0,0.0
8,2024-04-12 04:00:00,0.0,0.0,0.0
8,2024-04-12 04:15:00,0.0,0.0,0.0
8,2024-04-12 04:30:00,0.0,0.0,0.0
8,2024-04-12 04:45:00,0.0,0.0,0.0
8,2024-04-12 05:00:00,0.0,0.0,0.0
8,2024-04-12 05:15:00,0.0,0.0,0.0
8,2024-04-12 05:30:00,0.0,0.0,0.0
8,2024-04-12 05:45:00,0.0,0.0,0.0
8,2024-04-12 06:00:00,0.0,0.0,0.0
8,2024-04-12 06:15:00,0.0,0.0,0.0
8,2024-04-12 06:30:00,0.0,0.0,0.0
8,2024-04-12 06:45:00,0.0,0.0,0.0
8,2024-04-12 07:00:00,0.0,0.0,0.0
8,2024-04-12 07:15:00,0.0,0.0,0.0
8,2024-04-12 07:30:00,0.0,0.0,0.0
8,2024-04-12 07:45:00,0.0,0.0,0.0
8,2024-04-12 08:00:00,0.0,0.0,0.0
8,2024-04-12 08:15:00,0.0,0.0,0.0
8,2024-04-12 08:30:00,0.0,0.0,0.0
8,2024-04-12 08:45:00,0.0,0.0,0.0
8,2024-04-12 09:00:00,0.0,0.0,0.0
8,2024-04-12 09:15:00,0.0,0.0,0.0
8,2024-04-12 09:30:00,0.0,0.0,0.0
8,2024-04-12 09:45:00,0.0,0.0,0.0
